time_s,frame,altitude_m,pitch_deg,conf,lateral_m,ratio,violation,method
0.0,0,69.8,-16.7,0.493,45.4,0.65,True,EQ10
0.0,0,69.8,-16.7,0.485,51.2,0.734,True,EQ10
0.0,0,69.8,-16.7,0.424,58.3,0.835,True,EQ10
0.0,0,69.8,-16.7,0.413,66.9,0.958,True,EQ10
0.0,0,69.8,-16.7,0.288,36.3,0.52,True,EQ10
1.0,29,69.8,-16.5,0.465,32.9,0.471,True,EQ10
1.0,29,69.8,-16.5,0.362,51.3,0.736,True,EQ10
2.9,87,69.8,-12.9,0.348,18.0,0.257,True,GSD
11.6,348,69.8,0.3,0.424,6.2,0.089,True,GSD
11.6,348,69.8,0.3,0.261,6.6,0.095,True,GSD
12.6,377,69.8,-4.0,0.5,12.3,0.176,True,GSD
12.6,377,69.8,-4.0,0.346,15.4,0.221,True,GSD
12.6,377,69.8,-4.0,0.313,15.3,0.22,True,GSD
13.5,406,69.8,-7.7,0.305,19.4,0.278,True,GSD
15.5,464,70.0,-7.8,0.326,21.0,0.3,True,GSD
15.5,464,70.0,-7.8,0.295,9.3,0.133,True,GSD
15.5,464,70.0,-7.8,0.292,12.4,0.177,True,GSD
15.5,464,70.0,-7.8,0.251,9.6,0.137,True,GSD
19.4,580,69.9,-13.8,0.312,15.5,0.222,True,GSD
19.4,580,69.9,-13.8,0.298,20.0,0.287,True,GSD
20.3,609,70.0,-14.7,0.458,22.5,0.322,True,GSD
21.3,638,70.0,-14.4,0.259,14.3,0.204,True,GSD
22.3,667,70.0,-17.1,0.373,1.1,0.016,True,EQ10
28.1,841,69.7,-13.5,0.367,12.7,0.182,True,GSD
28.1,841,69.7,-13.5,0.346,12.7,0.182,True,GSD
28.1,841,69.7,-13.5,0.302,12.9,0.185,True,GSD
28.1,841,69.7,-13.5,0.3,12.8,0.183,True,GSD
28.1,841,69.7,-13.5,0.256,12.7,0.181,True,GSD
29.0,870,69.6,-13.3,0.262,10.8,0.155,True,GSD
30.0,899,69.6,-12.4,0.3,19.3,0.277,True,GSD
30.0,899,69.6,-12.4,0.278,21.6,0.31,True,GSD
31.0,928,69.5,-2.3,0.33,14.6,0.21,True,GSD
31.9,957,69.6,6.4,0.362,3.4,0.049,True,GSD
32.9,986,69.6,23.9,0.287,33.1,0.476,True,EQ10
33.9,1015,69.7,10.3,0.51,8.8,0.126,True,GSD
37.7,1131,69.8,2.2,0.438,3.8,0.054,True,GSD
43.5,1305,70.1,0.8,0.387,7.0,0.101,True,GSD
43.5,1305,70.1,0.8,0.322,11.8,0.169,True,GSD
43.5,1305,70.1,0.8,0.311,5.8,0.082,True,GSD
